   RF01065           23S-methyl          Terminator2           0.25           53.30           3.28
   RF01859           Phe_leader          CRC_binding           0.22           192.30           2.21
   RF01859           Phe_leader                 GNRA           0.33           170.50           2.50
   RF01859           Phe_leader          Terminator1           0.86           963.20           16.14
   RF01859           Phe_leader          Terminator2           0.90           758.10           13.03
   RF01859           Phe_leader                 UMAC           0.05           37.50           0.41
   RF01859           Phe_leader                 UNCG           0.12           64.80           1.28
   RF01859           Phe_leader               U-turn           0.03           21.40           0.51
   RF01859           Phe_leader         VTS1_binding           0.09           75.80           1.10
   RF01717           PhotoRC-II                 GNRA           0.02           38.40           0.20
   RF01717           PhotoRC-II             k-turn-1           0.02           48.90           0.19
   RF01717           PhotoRC-II                 UMAC           0.02           65.50           0.24
   RF01716            PhotoRC-I                 UNCG           0.85           121.10           9.09
   RF01118           PK-G12rRNA                 GNRA           0.10           287.60           0.92
   RF01118           PK-G12rRNA             k-turn-1           0.01           52.70           0.15
   RF01118           PK-G12rRNA               T-loop           0.24           846.10           2.45
   RF01118           PK-G12rRNA               U-turn           0.04           140.80           0.38
   RF01089             PK-repBA               U-turn           0.29           20.20           2.14
   RF01855            Plant_SRP                 GNRA           0.76           329.30           8.07
   RF01855            Plant_SRP             k-turn-1           0.24           103.60           2.40
   RF01855            Plant_SRP              pK-turn           0.05           29.80           0.82
   RF01855            Plant_SRP         SRP_S_domain           1.00           1746.10           42.13
   RF01855            Plant_SRP               T-loop           0.10           39.20           0.99
   RF01847             Plant_U3                 GNRA           0.10           18.30           1.27
   RF01847             Plant_U3             k-turn-1           0.10           19.10           1.34
   RF01847             Plant_U3                 UNCG           0.24           51.60           2.52
   RF00043        Plasmid_R1162               U-turn           0.43           34.50           3.77
   RF01864    plasmodium_snoR21          Terminator2           0.50           32.60           6.68
   RF01601    plasmodium_snoR26          Terminator1           1.00           32.40           16.20
   RF01602    plasmodium_snoR27          Terminator1           0.67           23.20           8.27
   RF01606    plasmodium_snoR31          Terminator1           0.67           27.90           10.51
   RF00523          Prion_pknot                 GNRA           0.35           328.90           3.07
   RF01518                 pRNA               T-loop           0.15           28.10           0.84
   RF01856         Protozoa_SRP                 GNRA           0.64           91.20           8.49
   RF01856         Protozoa_SRP             k-turn-1           0.18           24.30           1.22
   RF01856         Protozoa_SRP         SRP_S_domain           0.73           351.10           37.73
   RF01856         Protozoa_SRP               U-turn           0.18           22.00           2.57
   RF00166            PrrB_RsmZ         CsrA_binding           0.95           617.10           28.28
   RF00166            PrrB_RsmZ                 GNRA           0.23           73.00           3.86
   RF00166            PrrB_RsmZ          Terminator2           0.36           100.80           6.81
   RF00166            PrrB_RsmZ               T-loop           0.86           233.00           9.96
   RF00166            PrrB_RsmZ               U-turn           0.91           278.20           12.30
   RF00444                 PrrF                 GNRA           0.76           144.40           8.50
   RF00444                 PrrF          Terminator1           0.12           23.70           1.43
   RF00444                 PrrF          Terminator2           1.00           227.30           13.33
   RF00444                 PrrF                 UMAC           0.18           36.50           2.42
   RF00444                 PrrF                 UNCG           0.65           120.80           6.93
   RF01752                 psaA                 GNRA           0.26           37.70           2.21
   RF01752                 psaA             k-turn-1           0.11           19.60           1.21
   RF01752                 psaA                 UNCG           0.63           222.40           9.86
   RF01752                 psaA               U-turn           0.11           21.60           1.31
   RF01753                psbNH                 GNRA           0.24           34.20           1.62
   RF01753                psbNH               T-loop           0.18           33.40           1.28
   RF01719          Pseudomon-1          Terminator1           1.00           126.80           15.96
   RF01719          Pseudomon-1          Terminator2           1.00           120.00           15.20
   RF01719          Pseudomon-1                 UNCG           0.25           34.70           5.73
   RF01719          Pseudomon-1          vapC_target           0.25           28.20           4.28
   RF01721      Pseudomon-groES                 GNRA           0.75           121.90           9.86
   RF01721      Pseudomon-groES               T-loop           0.33           43.10           3.01
   RF01721      Pseudomon-groES               U-turn           0.17           20.70           1.88
   RF01811              PtaRNA1                 GNRA           0.88           56.60           7.35
   RF01069                 purD                 GNRA           0.28           53.00           2.20
   RF01069                 purD             k-turn-1           0.11           18.30           1.21
   RF02164               PVT1_1                 GNRA           0.33           59.90           3.16
   RF02164               PVT1_1             k-turn-1           0.33           54.20           4.15
   RF02164               PVT1_1              pK-turn           0.20           43.00           2.08
   RF02164               PVT1_1               T-loop           0.13           20.60           1.74
   RF02165               PVT1_2                 GNRA           0.18           25.70           1.67
   RF02165               PVT1_2             k-turn-1           0.12           21.20           1.54
   RF02165               PVT1_2                 UNCG           0.24           36.00           1.86
   RF02168               PVT1_5                 UNCG           0.23           50.20           1.97
   RF01812                  Pxr                 GNRA           1.00           16.10           8.05
   RF01722            Pyrobac-1                 GNRA           0.38           25.30           2.85
   RF01722            Pyrobac-1             k-turn-1           0.38           35.80           4.70
   RF00515                 PyrR                 GNRA           0.24           88.60           1.76
   RF00515                 PyrR             k-turn-1           0.07           29.00           0.60
   RF00515                 PyrR          Terminator1           0.40           241.70           5.72
   RF00515                 PyrR          Terminator2           0.56           357.90           8.30
   RF00515                 PyrR               T-loop           0.09           47.60           0.69
   RF00515                 PyrR                 UMAC           0.04           27.20           0.44
   RF00515                 PyrR                 UNCG           0.20           91.80           1.98
   RF00515                 PyrR               U-turn           0.11           83.60           1.31
   RF00515                 PyrR         VTS1_binding           0.04           27.30           0.69
   RF00378                  Qrr          HuR_binding           0.07           27.20           1.11
   RF00378                  Qrr          Terminator1           0.87           383.30           12.25
   RF00378                  Qrr          Terminator2           1.00           507.00           16.62
   RF00113                 QUAD                 GNRA           0.25           36.00           1.61
   RF00113                 QUAD              pK-turn           0.12           28.80           1.21
   RF00113                 QUAD               T-loop           0.44           69.40           3.57
   RF00113                 QUAD               U-turn           0.19           45.30           3.22
   RF01754                 radC                 GNRA           0.17           239.40           2.51
   RF01754                 radC             k-turn-1           0.05           52.80           0.78
   RF01754                 radC               T-loop           0.15           148.50           1.76
   RF01754                 radC                 UNCG           0.11           101.00           1.17
   RF01776                 RatA               T-loop           0.12           21.30           2.25
   RF01453         RCNMV_TE_DR1                 UNCG           0.67           22.00           7.43
   RF00214            Retro_dr1                 GNRA           0.27           24.00           1.85
   RF00214            Retro_dr1                 UNCG           0.36           36.80           2.95
   RF01093             RF_site5                 GNRA           0.17           14.10           0.85
   RF01094             RF_site6                 UNCG           1.00           16.60           8.30
   RF01723        Rhizobiales-2             Domain-V           0.17           21.20           1.09
   RF01723        Rhizobiales-2                 GNRA           0.75           70.70           5.06
   RF01723        Rhizobiales-2          Terminator1           0.58           74.30           5.37
   RF01814                 rhtB                 UNCG           0.30           29.70           2.99
   RF01770                 rimP                 GNRA           0.08           25.80           0.47
   RF01770                 rimP          HuR_binding           0.08           38.00           0.75
   RF01770                 rimP          Terminator1           1.00           917.60           24.91
   RF01770                 rimP          Terminator2           1.00           702.70           19.04
   RF01770                 rimP               T-loop           0.30           105.70           2.84
   RF01492                rli28                 GNRA           0.11           17.70           0.78
   RF01492                rli28           RBS_E_coli           0.11           32.70           1.78
   RF01493                rli37       sarcin-ricin-2           1.00           39.40           19.70
   RF01470                rli38          Terminator1           0.58           187.00           10.23
   RF01470                rli38          Terminator2           0.74           247.50           12.63
   RF01470                rli38                 UNCG           0.26           41.00           1.09
   RF01472                rli40       RBS_B_subtilis           1.00           79.90           19.82
   RF01472                rli40          Terminator1           1.00           74.70           18.52
   RF01472                rli40          Terminator2           1.00           77.00           18.81
   RF01473                rli41                 GNRA           0.67           17.70           5.76
   RF01473                rli41       RBS_B_subtilis           1.00           106.20           35.50
   RF01473                rli41           RBS_E_coli           1.00           63.50           21.05
   RF01473                rli41          Terminator1           1.00           57.70           19.30
   RF01473                rli41          Terminator2           1.00           33.00           10.99
   RF01473                rli41                 UNCG           0.67           19.60           6.59
   RF01490                rli51               U-turn           0.67           21.80           6.12
   RF01491                rli54          HuR_binding           1.00           38.70           19.35
   RF01491                rli54         RBS_H_pylori           1.00           31.60           15.80
   RF01491                rli54          Terminator1           1.00           31.60           15.80
   RF01491                rli54          Terminator2           1.00           47.90           23.95
   RF01484                rli59       RBS_B_subtilis           1.00           40.40           20.20
   RF01484                rli59           RBS_E_coli           1.00           36.20           18.10
   RF01464                 rliA          Terminator2           1.00           27.10           13.55
   RF01471                 rliB          CRC_binding           0.50           28.20           6.91
   RF01471                 rliB           RBS_E_coli           0.50           33.20           8.13
   RF01459                 rliE          Terminator1           1.00           93.00           31.04
   RF01459                 rliE          Terminator2           1.00           70.00           23.40
   RF01460                 rliH          Terminator1           0.67           29.20           9.89
   RF01755                  rmf                 GNRA           0.33           40.80           3.37
   RF01971              RMST_10                 GNRA           0.10           14.50           0.61
   RF01968               RMST_7                 GNRA           0.11           24.40           0.93
   RF01970               RMST_9                 GNRA           0.11           14.80           0.79
   RF00503               RNAIII       RBS_B_subtilis           0.67           41.20           13.98
   RF00106                 RNAI          Terminator1           1.00           99.60           16.87
   RF00106                 RNAI          Terminator2           0.67           50.20           9.08
   RF00106                 RNAI                 UNCG           0.50           29.00           4.95
   RF00030            RNase_MRP                 GNRA           0.53           342.50           6.20
   RF00030            RNase_MRP          HuR_binding           0.05           41.70           1.16
   RF00030            RNase_MRP             k-turn-1           0.08           61.10           1.11
   RF00030            RNase_MRP              pK-turn           0.08           75.70           0.61
   RF00030            RNase_MRP          Terminator2           0.03           22.70           0.54
   RF00030            RNase_MRP               T-loop           0.12           73.60           1.42
   RF00030            RNase_MRP                 UNCG           0.17           139.90           2.76
   RF00030            RNase_MRP               U-turn           0.05           31.40           0.71
   RF00373          RNaseP_arch             Domain-V           0.03           24.50           0.44
   RF00373          RNaseP_arch                 GNRA           0.84           1163.00           18.81
   RF00373          RNaseP_arch             k-turn-1           0.22           234.00           3.53
   RF00373          RNaseP_arch               T-loop           0.22           171.10           2.77
   RF00373          RNaseP_arch                 UNCG           0.19           149.10           2.56
   RF00373          RNaseP_arch               U-turn           0.13           147.40           2.94
   RF00010        RNaseP_bact_a               C-loop           0.02           148.90           0.33
   RF00010        RNaseP_bact_a         CsrA_binding           0.03           182.70           0.40
   RF00010        RNaseP_bact_a                 CUYG           0.02           204.00           0.40
   RF00010        RNaseP_bact_a        docking_elbow           0.94           21001.80           46.74
   RF00010        RNaseP_bact_a             Domain-V           0.04           217.00           0.45
   RF00010        RNaseP_bact_a                 GNRA           0.99           17364.30           38.45
   RF00010        RNaseP_bact_a          HuR_binding           0.02           137.90           0.30
   RF00010        RNaseP_bact_a             k-turn-1           0.19           1029.00           2.22
   RF00010        RNaseP_bact_a              pK-turn           0.67           6418.70           13.39
   RF00010        RNaseP_bact_a          Terminator1           0.02           130.20           0.27
   RF00010        RNaseP_bact_a          Terminator2           0.02           133.30           0.30
   RF00010        RNaseP_bact_a               T-loop           0.86           6789.10           14.82
   RF00010        RNaseP_bact_a                 UMAC           0.02           145.40           0.32
   RF00010        RNaseP_bact_a                 UNCG           0.34           2384.60           5.24
   RF00010        RNaseP_bact_a               U-turn           0.82           5807.30           12.96
   RF00011        RNaseP_bact_b          CRC_binding           0.02           27.10           0.39
   RF00011        RNaseP_bact_b        docking_elbow           0.55           1251.40           13.15
   RF00011        RNaseP_bact_b             Domain-V           0.03           33.40           0.46
   RF00011        RNaseP_bact_b                 GNRA           0.87           1587.80           16.23
   RF00011        RNaseP_bact_b          HuR_binding           0.08           90.40           0.96
   RF00011        RNaseP_bact_b             k-turn-1           0.06           58.90           0.91
   RF00011        RNaseP_bact_b         RBS_H_pylori           0.08           122.80           1.05
   RF00011        RNaseP_bact_b          Terminator2           0.03           30.90           0.38
   RF00011        RNaseP_bact_b               T-loop           0.09           80.50           1.13
   RF00011        RNaseP_bact_b                 UNCG           0.25           307.70           3.28
   RF00011        RNaseP_bact_b               U-turn           0.06           66.30           0.59
   RF00009           RNaseP_nuc               C-loop           0.02           32.60           0.19
   RF00009           RNaseP_nuc         CsrA_binding           0.02           23.90           0.23
   RF00009           RNaseP_nuc             Domain-V           0.02           21.40           0.15
   RF00009           RNaseP_nuc                 GNRA           0.41           520.90           5.42
   RF00009           RNaseP_nuc             k-turn-1           0.20           224.20           2.13
   RF00009           RNaseP_nuc              pK-turn           0.02           37.20           0.25
   RF00009           RNaseP_nuc               T-loop           0.14           170.90           1.57
   RF00009           RNaseP_nuc                 UNCG           0.23           311.30           2.80
   RF00009           RNaseP_nuc               U-turn           0.23           318.80           2.27
   RF00009           RNaseP_nuc         VTS1_binding           0.02           31.30           0.47
   RF00552                 rncO                 GNRA           0.43           33.10           4.78
   RF00552                 rncO          Terminator2           0.29           21.70           3.27
   RF00040                 rne5                 GNRA           1.00           59.50           9.82
   RF01756               rne-II                 GNRA           0.30           33.40           2.76
   RF01756               rne-II               U-turn           0.30           35.90           2.96
   RF01771           rnk_leader          Terminator1           1.00           151.30           16.39
   RF01771           rnk_leader          Terminator2           1.00           129.60           14.61
   RF01772           rnk_pseudo                 CUYG           0.15           38.60           2.30
   RF01772           rnk_pseudo                 GNRA           0.38           37.70           2.74
   RF01772           rnk_pseudo          Terminator1           1.00           269.70           21.16
   RF01772           rnk_pseudo          Terminator2           1.00           201.70           15.74
   RF01772           rnk_pseudo                 UMAC           0.23           37.50           2.14
   RF01772           rnk_pseudo                 UNCG           0.54           100.80           8.78
   RF00435                 ROSE                 GNRA           0.42           54.80           4.40
   RF00435                 ROSE                 UNCG           0.25           38.30           3.13
   RF00034                 RprA          Terminator1           0.20           25.00           2.28
   RF00034                 RprA          Terminator2           0.40           45.70           5.03
   RF00034                 RprA                 UNCG           0.20           18.00           2.21
   RF01815                 rpsB               T-loop           0.50           18.90           4.58
   RF01773          rpsL_psuedo                 GNRA           0.56           43.90           5.59
   RF01773          rpsL_psuedo          Terminator1           0.22           29.50           3.65
   RF01773          rpsL_psuedo          Terminator2           1.00           122.70           13.84
   RF01773          rpsL_psuedo                 UNCG           0.22           36.20           4.25
   RF01774           rpsL_ricks          Terminator1           1.00           48.50           11.96
   RF01774           rpsL_ricks          Terminator2           1.00           57.50           14.22
   RF01816                 RsaA          Terminator1           0.29           24.20           3.29
   RF01816                 RsaA          Terminator2           0.43           37.60           5.83
   RF01819                 RsaD                 GNRA           0.29           22.60           2.22
   RF01819                 RsaD          Terminator1           1.00           87.10           12.60
   RF01819                 RsaD          Terminator2           1.00           98.00           13.99
   RF01819                 RsaD                 UNCG           0.86           53.10           7.00
   RF01820                 RsaE                 GNRA           0.14           19.00           1.68
   RF01820                 RsaE              pK-turn           0.14           33.40           2.61
   RF01820                 RsaE          Terminator1           0.71           161.40           13.60
   RF01820                 RsaE          Terminator2           0.79           148.60           12.24
   RF01820                 RsaE               T-loop           0.14           19.10           1.84
   RF01820                 RsaE                 UMAC           0.21           39.30           2.24
   RF01820                 RsaE                 UNCG           0.36           62.70           4.57
   RF01820                 RsaE               U-turn           0.14           21.00           1.11
   RF01775                RsaOG          Terminator2           0.50           34.50           7.27
   RF01401                 rseX          Terminator2           0.30           35.20           2.61
   RF01401                 rseX               T-loop           0.70           79.50           6.97
   RF01401                 rseX               U-turn           0.50           58.60           5.06
   RF02144                 rsmX         CsrA_binding           1.00           298.10           23.53
   RF02144                 rsmX          Terminator1           0.77           156.30           11.77
   RF02144                 rsmX                 UNCG           1.00           272.10           20.58
   RF00195                 RsmY         CsrA_binding           1.00           293.20           29.28
   RF00195                 RsmY          Terminator1           0.60           84.50           8.65
   RF00195                 RsmY                 UMAC           0.30           39.90           3.21
   RF00195                 RsmY                 UNCG           0.60           119.70           11.66
   RF00467              RSV_PBS               U-turn           0.50           44.90           5.44
   RF00391                  RtT         CsrA_binding           0.04           32.00           0.95
   RF00391                  RtT                 GNRA           0.32           143.00           4.00
   RF00391                  RtT             k-turn-1           0.09           38.20           0.75
   RF00391                  RtT               T-loop           0.13           61.10           1.03
   RF00391                  RtT               U-turn           0.11           61.70           1.24
   RF00194            Rubella_3                 GNRA           1.00           35.30           8.80
   RF00194            Rubella_3          Terminator2           0.75           37.90           8.75
   RF00194            Rubella_3               T-loop           0.75           32.20           7.43
   RF00194            Rubella_3                 UNCG           0.75           27.60           6.37
   RF00194            Rubella_3               U-turn           1.00           45.00           11.17
   RF01824                RUF20       RBS_B_subtilis           0.50           43.70           10.24
   RF01824                RUF20           RBS_E_coli           0.50           28.60           6.63
   RF01581               RUF6-5                 GNRA           0.44           28.40           2.56
   RF01581               RUF6-5          Terminator1           0.33           36.50           5.66
   RF01581               RUF6-5          Terminator2           0.33           34.80           3.70
   RF00110                 RybB          Terminator1           0.25           29.90           4.46
   RF00110                 RybB          Terminator2           0.75           77.10           10.57
   RF00111                 RyeB          Terminator2           0.75           151.70           8.51
   RF00126                 ryfA                 GNRA           0.86           65.00           9.26
   RF00126                 ryfA              pK-turn           0.29           28.80           3.21
   RF00126                 ryfA          Terminator1           0.29           24.30           3.65
   RF00126                 ryfA          Terminator2           0.43           32.10           4.13
   RF00126                 ryfA               T-loop           0.29           19.40           2.76
   RF00126                 ryfA                 UNCG           1.00           140.70           18.99
   RF00126                 ryfA               U-turn           0.43           45.30           4.80
   RF00057                 RyhB          Terminator2           0.22           60.80           3.56
   RF00057                 RyhB                 UNCG           0.13           25.70           1.17
   RF00114                  S15           RBS_E_coli           0.05           48.20           0.94
   RF00114                  S15          Terminator2           0.03           20.30           0.50
   RF00114                  S15                 UNCG           0.12           75.70           1.43
   RF01050      Sacc_telomerase          CRC_binding           0.29           26.00           2.53
   RF01050      Sacc_telomerase          HuR_binding           0.29           28.20           4.90
   RF01050      Sacc_telomerase          Terminator1           0.43           54.10           7.87
   RF01050      Sacc_telomerase          Terminator2           1.00           137.40           19.62
   RF01050      Sacc_telomerase               T-loop           0.29           18.60           2.66
   RF01057       SAH_riboswitch                 GNRA           0.04           16.50           0.34
   RF01057       SAH_riboswitch             k-turn-1           0.06           30.20           0.67
   RF01057       SAH_riboswitch              pK-turn           0.06           44.80           0.59
   RF01057       SAH_riboswitch                 UNCG           0.04           18.10           0.32
   RF01057       SAH_riboswitch               U-turn           0.04           22.30           0.27
   RF00162                  SAM                 GNRA           0.15           642.20           1.60
   RF00162                  SAM          HuR_binding           0.02           92.70           0.19
   RF01725     SAM-I-IV-variant                 GNRA           0.18           524.60           2.54
   RF01725     SAM-I-IV-variant               T-loop           0.03           107.40           0.52
   RF01725     SAM-I-IV-variant                 UMAC           0.01           50.30           0.17
   RF01725     SAM-I-IV-variant                 UNCG           0.05           144.80           0.62
   RF01725     SAM-I-IV-variant               U-turn           0.02           55.50           0.26
   RF00634               SAM-IV               C-loop           0.06           32.80           0.82
   RF00634               SAM-IV                 GNRA           0.31           93.80           2.84
   RF00634               SAM-IV             k-turn-1           0.14           57.70           1.61
   RF00634               SAM-IV               T-loop           0.42           176.30           4.21
   RF00634               SAM-IV               U-turn           0.08           34.90           0.88
   RF00162                  SAM             k-turn-1           0.59           3033.40           7.57
   RF00162                  SAM               T-loop           0.02           92.50           0.25
   RF00162                  SAM                 UNCG           0.02           101.90           0.29
   RF00162                  SAM               U-turn           0.03           188.40           0.43
   RF00262                  sar                 UNCG           1.00           20.00           10.00
   RF01757                 sbcD         CsrA_binding           0.40           22.20           3.90
   RF01757                 sbcD             Domain-V           0.40           25.80           5.00
   RF01757                 sbcD                 GNRA           0.80           68.60           14.46
   RF01757                 sbcD               U-turn           0.60           32.90           5.97
   RF01757                 sbcD         VTS1_binding           0.60           41.00           7.46
   RF00564             SCARNA11                 GNRA           0.09           16.40           0.70
   RF00564             SCARNA11             k-turn-1           0.13           42.90           3.17
   RF00231             SCARNA13         VTS1_binding           0.09           25.30           0.92
   RF00424             SCARNA16                 GNRA           0.08           22.70           0.52
   RF00424             SCARNA16          Terminator1           0.08           32.90           0.75
   RF00424             SCARNA16          Terminator2           0.14           61.70           1.21
   RF00553              SCARNA1             Domain-V           0.12           31.90           0.74
   RF00553              SCARNA1               T-loop           0.35           90.40           3.08
   RF00602             SCARNA21                 GNRA           0.09           21.10           0.72
   RF00602             SCARNA21             k-turn-1           0.09           23.20           0.73
   RF00602             SCARNA21              pK-turn           0.09           30.20           1.60
   RF00602             SCARNA21               U-turn           0.22           74.00           2.49
   RF00427             SCARNA23                 GNRA           0.24           29.90           1.88
   RF01268              SCARNA2                 GNRA           0.56           101.70           5.17
   RF01268              SCARNA2             k-turn-1           0.56           119.50           6.34
   RF01268              SCARNA2                 UNCG           0.33           87.30           4.57
   RF01268              SCARNA2               U-turn           0.17           31.20           1.57
   RF01295              SCARNA7                 GNRA           0.28           40.20           1.95
   RF00286              SCARNA8                 GNRA           0.15           28.60           1.72
   RF00286              SCARNA8             k-turn-1           0.25           48.30           3.00
   RF00031              SECIS_1               T-loop           0.05           30.40           0.45
   RF01989              SECIS_3             k-turn-1           0.08           19.70           0.78
   RF01990              SECIS_4               U-turn           0.42           101.60           3.84
   RF00490            S-element                 GNRA           0.28           83.50           2.60
   RF00517                 serC                 GNRA           0.19           112.80           1.74
   RF00534                 SgrS          Terminator1           0.38           35.40           4.45
   RF00534                 SgrS          Terminator2           0.50           49.80           5.68
   RF00534                 SgrS               U-turn           0.25           22.40           1.98
   RF02247            Six3os1_2                 GNRA           0.23           22.80           1.47
   RF02247            Six3os1_2               U-turn           0.15           22.60           1.81
   RF02249            Six3os1_4                 GNRA           0.50           23.20           3.50
   RF02249            Six3os1_4                 UNCG           0.83           85.90           14.61
   RF02249            Six3os1_4               U-turn           0.33           20.40           3.18
   RF02250            Six3os1_5                 GNRA           0.60           99.10           4.43
   RF02250            Six3os1_5             k-turn-1           0.53           89.50           4.06
   RF02250            Six3os1_5               T-loop           0.13           23.80           1.50
   RF02251            Six3os1_6                 GNRA           1.00           38.20           19.10
   RF00199                  SL2                 GNRA           0.67           152.90           6.72
   RF02175          SMAD5-AS1_3             k-turn-1           0.17           28.30           1.17
   RF01767   SMK_box_riboswitch                 GNRA           0.09           15.40           0.47
   RF01767   SMK_box_riboswitch          HuR_binding           0.09           27.20           1.13
   RF01844                  SmY                 GNRA           0.18           94.10           1.61
   RF01844                  SmY                 UNCG           0.13           88.70           1.32
   RF00336               snoJ26          Terminator2           0.67           22.00           7.47
   RF00539       snoMe28S-Cm788         AUF1_binding           0.75           56.40           12.72
   RF00540       snopsi18S-1854          Terminator2           0.25           48.90           4.28
   RF00542       snopsi28S-1192                 GNRA           0.14           19.20           1.56
   RF00546       snopsi28S-3316          HuR_binding           0.06           26.40           0.57
   RF00095           snoPyro_CD             k-turn-1           0.14           29.20           1.12
   RF01583               snoR01          HuR_binding           0.67           25.60           8.25
   RF01583               snoR01               T-loop           0.67           21.10           7.19
   RF01219              snoR100             k-turn-1           0.22           18.80           2.18
   RF01219              snoR100                 UNCG           0.22           27.10           2.89
   RF00345                snoR1          Terminator2           0.18           23.00           1.67
   RF00132               snoR24          Terminator2           0.29           24.70           3.68
   RF00132               snoR24                 UNCG           0.43           33.10           4.73
   RF01292                snoR2             k-turn-1           0.50           83.30           7.89
   RF01292                snoR2         VTS1_binding           0.20           27.80           2.90
   RF00357           snoR44_J54                 GNRA           0.13           24.60           1.18
   RF00357           snoR44_J54               U-turn           0.09           20.00           1.15
   RF00291              snoR639               U-turn           0.43           32.80           3.89
   RF00267               snoR64            tandem-GA           0.92           259.10           20.75
   RF01231               snoR74          Terminator2           0.22           23.30           2.36
   RF01227               snoR83          Terminator1           0.29           23.70           3.29
   RF01227               snoR83          Terminator2           0.57           49.00           5.80
   RF01227               snoR83                 UNCG           0.43           31.20           3.93
   RF01208               snoR99                 GNRA           0.22           14.70           1.64
   RF00065                snoR9             k-turn-1           1.00           59.90           14.99
   RF00614              SNORA11               U-turn           0.10           33.30           0.79
   RF00586              SNORA12          Terminator2           0.09           27.80           2.23
   RF00396              SNORA13          Terminator1           0.04           21.40           0.20
   RF00397              SNORA14                 GNRA           0.12           15.90           1.19
   RF00397              SNORA14          Terminator1           0.19           36.60           2.36
   RF00397              SNORA14          Terminator2           0.12           25.80           2.60
   RF00398              SNORA15          Terminator2           0.20           43.10           1.53
   RF00190              SNORA16                 UNCG           0.11           28.80           1.06
   RF00560              SNORA17                 GNRA           0.05           19.80           0.64
   RF00560              SNORA17             k-turn-1           0.05           20.20           0.63
   RF00560              SNORA17                 UNCG           0.05           16.80           0.60
   RF00413              SNORA19          Terminator2           0.07           20.20           0.59
   RF00408               SNORA1                 GNRA           0.08           17.30           0.87
   RF00408               SNORA1             k-turn-1           0.12           31.40           1.42
   RF00414              SNORA22          Terminator1           0.07           23.30           0.96
   RF00402              SNORA25                 GNRA           0.07           15.00           0.43
   RF00402              SNORA25          Terminator2           0.07           22.20           0.65
   RF00402              SNORA25         VTS1_binding           0.10           40.20           1.18
   RF00568              SNORA26             k-turn-1           0.03           21.10           0.56
   RF00568              SNORA26          Terminator2           0.04           39.30           0.63
   RF00443              SNORA27          HuR_binding           0.36           105.50           4.06
   RF00415              SNORA30                 GNRA           0.29           15.50           1.89
   RF00438              SNORA33                 GNRA           0.17           40.10           1.84
   RF00438              SNORA33               T-loop           0.13           30.40           1.04
   RF00428              SNORA38                 GNRA           0.17           37.90           1.67
   RF00428              SNORA38                 UNCG           0.25           59.20           2.70
   RF00403              SNORA41               T-loop           0.08           20.80           0.72
   RF00403              SNORA41                 UNCG           0.08           16.90           0.55
   RF00403              SNORA41               U-turn           0.08           23.70           0.89
   RF00405              SNORA44                 GNRA           0.36           80.90           2.30
   RF01234              SNORA47                 GNRA           0.45           66.90           2.53
   RF01234              SNORA47             k-turn-1           0.10           19.10           0.67
   RF01234              SNORA47                 UNCG           0.30           56.30           2.80
   RF00562              SNORA49                 GNRA           0.10           17.20           0.91
   RF00419              SNORA52                 GNRA           0.11           25.40           1.22
   RF00563              SNORA53          HuR_binding           0.46           136.40           4.24
   RF00563              SNORA53          Terminator1           0.12           42.80           1.54
   RF00563              SNORA53          Terminator2           0.12           41.10           1.43
   RF00431              SNORA55                 GNRA           0.19           46.60           1.69
   RF00191              SNORA57                 GNRA           0.16           33.10           1.08
   RF00191              SNORA57               T-loop           0.08           19.90           0.64
   RF00191              SNORA57                 UNCG           0.32           77.00           2.66
   RF00191              SNORA57               U-turn           0.08           23.10           0.57
   RF00263              SNORA68          Terminator1           0.08           26.40           1.33
   RF00263              SNORA68          Terminator2           0.08           25.30           1.42
   RF00263              SNORA68                 UNCG           0.20           46.90           1.77
   RF00263              SNORA68               U-turn           0.20           59.30           2.24
   RF00265              SNORA69           RBS_E_coli           0.38           99.60           6.04
   RF00265              SNORA69                 UNCG           0.15           18.30           1.85
   RF00156              SNORA70                 GNRA           0.28           84.80           1.73
   RF00156              SNORA70          Terminator2           0.05           24.20           0.55
   RF00156              SNORA70                 UNCG           0.10           39.80           1.25
   RF00156              SNORA70               U-turn           0.23           96.80           1.82
   RF00056              SNORA71                 GNRA           0.05           17.70           0.48
   RF00139              SNORA72          Terminator2           0.25           86.00           2.27
   RF00045              SNORA73                 GNRA           0.04           19.60           0.34
   RF00045              SNORA73             k-turn-1           0.44           262.70           4.56
   RF00045              SNORA73                 UNCG           0.15           97.00           2.34
   RF00090              SNORA74       Roquin_binding           0.09           39.90           1.25
   RF00090              SNORA74                 UNCG           0.22           40.40           1.16
   RF00598              SNORA76                 GNRA           0.64           119.20           5.55
   RF00598              SNORA76             k-turn-1           0.23           50.70           2.56
   RF00598              SNORA76          Terminator1           0.27           76.60           3.20
   RF00598              SNORA76          Terminator2           0.18           48.70           2.09
   RF00598              SNORA76                 UNCG           0.32           66.60           2.64
   RF00599              SNORA77          Terminator2           0.47           116.70           5.45
   RF00600              SNORA79          Terminator2           0.16           49.00           2.30
   RF00409               SNORA7             k-turn-1           0.08           18.30           1.11
   RF01241              SNORA81          CRC_binding           0.12           43.00           2.28
   RF01241              SNORA81          HuR_binding           0.08           25.60           0.62
   RF01241              SNORA81          Terminator1           0.28           81.00           2.38
   RF01241              SNORA81          Terminator2           0.44           125.20           3.66
